2.000000e+00	6.094310e-05
1.903226e+00	5.900190e-05
1.806452e+00	5.701248e-05
1.709677e+00	5.497239e-05
1.612903e+00	5.287854e-05
1.516129e+00	5.072411e-05
1.419355e+00	4.850674e-05
1.322581e+00	4.621816e-05
1.225806e+00	4.385289e-05
1.129032e+00	4.140053e-05
1.032258e+00	3.885325e-05
9.354839e-01	3.619666e-05
8.387097e-01	3.341528e-05
7.419355e-01	3.048531e-05
6.451613e-01	2.738402e-05
5.483871e-01	2.410653e-05
4.516129e-01	2.062819e-05
3.548387e-01	1.687623e-05
2.580645e-01	1.278431e-05
1.612903e-01	8.306615e-06
6.451613e-02	3.440204e-06
-3.225806e-02	-1.771859e-06
-1.290323e-01	-7.263273e-06
-2.258065e-01	-1.296879e-05
-3.225806e-01	-1.883594e-05
-4.193548e-01	-2.482463e-05
-5.161290e-01	-3.090630e-05
-6.129032e-01	-3.706115e-05
-7.096774e-01	-4.327265e-05
-8.064516e-01	-4.953040e-05
-9.032258e-01	-5.582543e-05
